slug,name,bytes,source,permanent_url
alex-coulombe,Alex Coulombe,9580,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/alex-coulombe.jpg
andre-lam,Andre Lam,8338,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/andre-lam.jpg
andrew-d-henke,Andrew D. Henke,7157,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/andrew-d-henke.jpg
andrew-farah,Andrew Farah,7782,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/andrew-farah.jpg
andy-adams,Andy Adams,11271,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/andy-adams.jpg
bryan-tritt,Bryan Tritt,8974,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/bryan-tritt.jpg
cmartyfit-christopher-martin-chris-martin,CMartyFit Christopher Martin (Chris Martin),9884,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/cmartyfit-christopher-martin-chris-martin.jpg
dale-dupree,Dale Dupree,10806,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/dale-dupree.jpg
darian-parker,Darian Parker,10356,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/darian-parker.jpg
david-arsenault,David Arsenault,7653,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/david-arsenault.jpg
david-sauers,David Sauers,12132,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/david-sauers.jpg
doug-lawson,Doug Lawson,6367,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/doug-lawson.jpg
edward-zaydelman,Edward Zaydelman,10447,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/edward-zaydelman.jpg
erik-severinghaus,Erik Severinghaus,8824,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/erik-severinghaus.jpg
glenn-turner,Glenn Turner,7969,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/glenn-turner.jpg
greg-walls,Greg Walls,7380,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/greg-walls.jpg
howard-berg,Howard Berg,12550,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/howard-berg.jpg
jack-wilson,Jack Wilson,14576,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jack-wilson.jpg
jared-anders,Jared Anders,6303,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jared-anders.jpg
jason-mar-tang,Jason Mar-Tang,8091,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jason-mar-tang.jpg
jeff-hatten,Jeff Hatten,10215,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jeff-hatten.jpg
jeffrey-johnston,Jeffrey Johnston,7787,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jeffrey-johnston.jpg
john-brink,John Brink,6498,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/john-brink.jpg
john-fullbright,John Fullbright,10385,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/john-fullbright.jpg
jonathan-pritchard,Jonathan Pritchard,6112,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jonathan-pritchard.jpg
jos-carlos-charlie-sarmiento,José Carlos (Charlie) Sarmiento,8810,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/jos-carlos-charlie-sarmiento.jpg
josh-glow,Josh Glow,7950,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/josh-glow.jpg
kevan-lee,Kevan Lee,14493,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/kevan-lee.jpg
larry-hagner,Larry Hagner,11279,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/larry-hagner.jpg
laura-jennings,Laura Jennings,12635,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/laura-jennings.jpg
leighton-dewit,Leighton Dewit,8890,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/leighton-dewit.jpg
liz-parrish,Liz Parrish,9464,apollo_linkedin,https://raw.githubusercontent.com/morningsinthelab/mitl-cdn/main/guest-headshots/liz-parrish.jpg
